ID,ROOM,TYPE,DESCRIPTION,IMG,QUANTITY,PRICE,BRAND,DIMENSION,AVAIL,NOTES,THUMBNAIL
Fl3-library-organ-ottoman,Living space,Furniture,Upholstered top with wooden and weaved base,IMG_1521.jpg,1.0,423,Dan Rak Design Purchased,,Y,,
Fl3-library-grey-arm-chair,Living space,Furniture,Light grey fabric,IMG_1522.jpg,2.0,711,Dan Rak Design Purchased,,Reserved by BA,buyer agent,
Fl3-library-desk,Office,Furniture,Parson custom desk,IMG_1523.jpg,1.0,"1,429",Room&Board,72W x 30H x 26D (in),Reserved by Maria,MM also wants it,
Fl3-library-lounge-chair,Living space,Furniture,Orange fabric tilton recliner lounge chair with round chrome metal base,IMG_1524.jpg,2.0,"1,500",Mitchell Gold + Bob Williams,31W x 39H x 38D (in),Reserved by Maria,,
Fl3-library-art-collage,Living space,Art,Collage of 3 pieces with green and orange color tone,IMG_1677.jpg,3.0,"1,328",,,Reserved by BA,buyer agent,
Fl3-library-art-profile-blue-green-gold,Living space,Art,Blue-teal fluid brushstrokes on white with warm brown undertones,IMG_1525.jpg,1.0,568,,,Y,,
Fl3-library-coffee-table,Living space,Furniture,Dark grey multi-facet glossy coffee table,IMG_1526.jpg,1.0,816,Dan Rak Design Purchased,,Y,,
Fl3-library-end-table,Living space,Furniture,Wooden end table,IMG_1528.jpg,2.0,278,Dan Rak Design Purchased,,Y,,
Fl3-library-sofa,Living space,Furniture,Blue velvet couch,IMG_1528.jpg,1.0,"1,200",Westelm,,Reserved by Maria,,
Fl3-library-rug,Living space,Furniture,Multi-color diamond patterned contemporary area rug,IMG_1526.jpg,1.0,"1,505",Dan Rak Design Purchased,,Y,,
Fl3-library-desk-lamp,Office,Lighting,Pablo pixo desk lamp,IMG_1528.jpg,1.0,360,Pablo,,Y,,
Fl3-library-floor-lamp,Living space,Lighting,Tri-Plex Floor Lamp,IMG_1524.jpg,1.0,499,Room&Board,,Y,,
Fl3-library-table-lamp,Living space,Lighting,White lamp shade with white ceramic base,IMG_1527.jpg,1.0,270,Dan Rak Design Purchased,,Y,,
Fl3-library-console-table,Living space,Furniture,White console table,IMG_1527.jpg,1.0,599,Dan Rak Design Purchased,,Y,,
Fl3-office-lounge-chair,Office,Furniture,Leather emmet lounge chair with ottoman,IMG_1529.jpg,1.0,"2,400",Mitchell Gold + Bob Williams,,Reserved by EG,,
Fl3-office-floor-lamp,Office,Lighting,Black and chrome floor lamp,IMG_1529.jpg,1.0,495,Dan Rak Design Purchased,,Y,,
Fl3-office-rug,Office,Furniture,Cow hide area rug,IMG_1531.jpg,1.0,306,Dan Rak Design Purchased,,Reserved by MM,,
Fl3-office-drink-table,Office,Furniture,Metal drink table,IMG_1529.jpg,1.0,200,Dan Rak Design Purchased,,Reserved by MM,,
Fl3-office-desk,Office,Furniture,Wooden desk with metal base,IMG_1530.jpg,1.0,"1,220",Dan Rak Design Purchased,,Y,,
Fl3-office-desk-lamp,Office,Lighting,Multi-contour ergonomic LED desk lamp,IMG_1530.jpg,1.0,400,Dan Rak Design Purchased,,Y,,
Fl3-lounge-coffee-table,Living space,Furniture,TREMONT round table with root base,IMG_1532.jpg,1.0,"2,500",Mitchell Gold + Bob Williams,50Dia x 16¼H (in),Y,,
Fl3-lounge-rug,Living space,Furniture,Contemporary area rug,IMG_1532.jpg,1.0,"1,290",Dan Rak Design Purchased,,Reserved by MM,,
Fl3-lounge-arm-chair,Living space,Furniture,Metal and fabric arm chair,IMG_1532.jpg,1.0,405,Dan Rak Design Purchased,,Y,,
FL3-lounge-art,Living space,Art,Bold brushstroke diptych in red/orange/teal/black on white,IMG_1533.jpg,1.0,"1,290",,,Y,,
FL3-lounge-stair-art,Living space,Art,Bold brush blue and black ink abstract,IMG_1674.jpg,,"1,290",,,Reserved by EG,,
Fl3-lounge-lounge-chair,Living space,Furniture,Light grey fabric contemporary lounge chair,IMG_1534.jpg,2.0,855,Dan Rak Design Purchased,,Y,,
Fl3-lounge-accent-table,Living space,Furniture,Round wood end table,IMG_1534.jpg,1.0,423,Dan Rak Design Purchased,,Y,,
Fl3-lounge-chaise,Living space,Furniture,Velvet contemporary chaise,IMG_1535.jpg,1.0,"5,780",Dan Rak Design Purchased,,Y,,
Fl3-lounge-end-table,Living space,Furniture,Round accent table with glass top and marble base,IMG_1535.jpg,1.0,400,Room&Board,,Y,,
Fl2-front-bedroom-lounger,Bedroom,Furniture,Alma swivel armchair and ottoman,IMG_1536.jpg,1.0,"1,200",Calligaris,,Reserved by EG,,
Fl2-front-bedroom-dresser,Bedroom,Furniture,Wood Tiled 3-Drawer Dresser,IMG_1536.jpg,1.0,630,Westelm,,N,,
Fl2-front-bedroom-mirror,Bedroom,Furniture,Manhattan Leaning Mirror in Stainless Steel,IMG_1536.jpg,1.0,"1,199",Room&Board,32W x 88H x 2D (in),Reserved by MM,,
Fl2-front-bedroom-table-lamp,Bedroom,Lighting,Contemporary table lamp,IMG_1536.jpg,1.0,200,Dan Rak Design Purchased,,Reserved by EG,,
Fl2-front-bedroom-accent-table,Bedroom,Lighting,Metal accent table,IMG_1536.jpg,1.0,200,Westelm,,Reserved by EG,,
Fl2-front-bedroom-rug,Bedroom,Furniture,Contemporary area rug,IMG_1537.jpg,1.0,"2,175",Dan Rak Design Purchased,,Reserved by EG,,
Fl2-front-bedroom-bed,Bedroom,Furniture,Queen size bed with velvet blue headboard,IMG_1537.jpg,1.0,"1,000",Westelm,,Reserved by MM,,
Fl2-front-bedroom-bed-table-lamp,Bedroom,Furniture,White square shade lamps with dark ribbed ceramic base,IMG_1548.jpg,2.0,232,Dan Rak Design Purchased,,Reserved by MM,,
Fl2-front-bedroom-nightstand-round,Bedroom,Furniture,Round top night stand,IMG_1537.jpg,1.0,250,Westelm,,Reserved by MM,,
Fl2-front-bedroom-nightstand,Bedroom,Furniture,White single-drawer nightstand with open shelf and metal legs,IMG_1548.jpg,1.0,250,Westelm,,Reserved by MM,,
Fl2-mid-bedroom-coffee-table,Bedroom,Furniture,Streamline Rectangle Coffee,IMG_1538.jpg,1.0,300,Westelm,44W x 16H x 24D (in),Reserved by MM,,
Fl2-mid-bedroom-sofa,Bedroom,Furniture,Alex queen sleeper sofa,IMG_1538.jpg,1.0,"1,062",Mitchell Gold + Bob Williams,79W x 35H x 35D (in),Reserved by MM,,
Fl2-mid-bedroom-dresser,Bedroom,Furniture,3 drawer dresser,IMG_1540.jpg,1.0,"1,000",Room&Board,,N,,
Fl2-mid-bedroom-rug,Bedroom,Furniture,Blue patterned area rug,IMG_1539.jpg,1.0,"1,139",Dan Rak Design Purchased,,Reserved by Maria,"MM also wants it, can give the library rug to MM",
Fl2-mid-bedroom-table-lamp,Bedroom,Lighting,White lamp with ceramic base,IMG_1540.jpg,1.0,210,Dan Rak Design Purchased,,Y,,
Fl2-mid-bedroom-art,Bedroom,Art,Minimalist geometric composition in cream and grey tones,IMG_1541.jpg,1.0,745,,,N,,
Fl2-main-bedroom-lounge-chair,Bedroom,Furniture,White upholstered lounge chair with woven rattan and black wood frame,IMG_1542.jpg,2.0,"1,233",Dan Rak Design Purchased,,Reserved by EG,,
Fl2-main-bedroom-accent-table,Bedroom,Furniture,Round black fluted drum accent table,IMG_1542.jpg,1.0,374,Dan Rak Design Purchased,,Y,,
Fl2-main-bedroom-rug,Bedroom,Furniture,Contemporary area rug,IMG_1545.jpg,1.0,"5,172",Dan Rak Design Purchased,,Reserved by EG,,
Fl2-main-bedroom-nightstand,Bedroom,Furniture,Black and wood night stand,IMG_1544.jpg,2.0,"1,250",Dan Rak Design Purchased,,Reserved by EG,,
Fl2-main-bedroom-table-lamp,Bedroom,Furniture,Chrome and acrylic table lamp,IMG_1544.jpg,2.0,405,Dan Rak Design Purchased,,Reserved by EG,,
Fl2-main-bedroom-bed,Bedroom,Furniture,King size platform bed with low-profile upholstered white headboard,IMG_1543.jpg,1.0,"3,150",Dan Rak Design Purchased,,Reserved by EG,,
Fl2-main-bedroom-set-art,Bedroom,Art,Three framed prints with stacked diamond shapes in earth tones,IMG_1543.jpg,1.0,"1,728",,,Reserved by EG,,
fl1-diningroom-table,Dining,Furniture,Custom maple and iron rectangular dining table,IMG_1549.jpg,1.0,"3,000",Dan Rak Design Purchased,,Y,,
fl1-diningroom-dining-chair,Dining,Furniture,Emily grey side chair,IMG_1562.jpg,6.0,300,Arhaus,21W x 19H x 21D (in),Y,,
fl1-diningroom-dining-armchair,Dining,Furniture,Emily grey armchair,IMG_1576.jpg,2.0,400,Arhaus,22W x 19H x 21D (in),Y,,
fl1-diningroom-rug,Dining,Furniture,Contemporary area rug,IMG_1549.jpg,1.0,"1,862",Dan Rak Design Purchased,,Reserved by EG,,
fl1-diningroom-mirror,Dining,Furniture,Smoked darkened mirror,IMG_1679.jpg,1.0,400,Dan Rak Design Purchased,,Reserved by EG,Also by buyer agent,
fl1-diningroom-art,Dining,Art,Vibrant expressive painting with red/yellow/blue/black brushstrokes,IMG_1550.jpg,1.0,"1,200",,,Y,,
fl1-livingroom-lounge-chair,Living space,Furniture,Oversized gray boucle lounge chair with wide arms,IMG_1558.jpg,1.0,"2,884",Dan Rak Design Purchased,,Y,,
Fl1-livingroom-accent-chair,Living space,Furniture,Mid-century modern accent chair with walnut frame and black leather seat,IMG_1553.jpg,1.0,713,Dan Rak Design Purchased,,Reserved by MM,,
Fl1-livingroom-accent-table,Living space,Furniture,Multi-layered smoke mirrored accent table,IMG_1553.jpg,1.0,400,Dan Rak Design Purchased,,Reserved by EG,,
Fl1-livingroom-rug,Living space,Furniture,Bold stripe contemporary rug,IMG_1552.jpg,1.0,"1,383",Dan Rak Design Purchased,,Reserved by EG,,
Fl1-livingroom-sofa,Living space,Furniture,Carson sofa,IMG_1552.jpg,1.0,972,Mitchell Gold + Bob Williams,92W x 32H x 38D (in),Reserved by EG,,
Fl1-livingroom-coffee-table,Living space,Furniture,Round marble coffee table,IMG_1556.jpg,1.0,"1,529",Dan Rak Design Purchased,,Reserved by EG,,
Fl1-livingroom-floor-lamp,Living space,Lighting,White shade with stone base floor lamp,IMG_1551.jpg,1.0,575,Dan Rak Design Purchased,,Y,,
Fl1-livingroom-table-lamp,Living space,Lighting,Contemporary table lamp,IMG_1560.jpg,2.0,179,Dan Rak Design Purchased,,Reserved by EG,,
Fl1-livingroom-end-table,Living space,Furniture,Contemporary wood end table,IMG_1560.jpg,2.0,243,Dan Rak Design Purchased,,Reserved by EG,,
fl1-froyer-console,Living space,Furniture,Glass console table,P102-foyer-1.jpg,1.0,300,Room&Board,,Y,,
Fl1-familyroom-rug,Living space,Furniture,Grey and beige contemporary rug,P109-familyroom-1.jpg,1.0,"4,596",Dan Rak Design Purchased,,Reserved by EG,,
Fl1-familyroom-floorlamp-black,Living space,Lighting,Modern lamp with metal structured base,IMG_1563.jpg,1.0,677,Dan Rak Design Purchased,,Y,,
Fl1-familyroom-floorlamp-ottoman,Living space,Furniture,Upholstered accent stool,IMG_1563.jpg,1.0,185,Dan Rak Design Purchased,,Y,,
Fl1-familyroom-floorlamp-white,Living space,Lighting,Contemporary floor lamp with seasoned gold tripot base,IMG_1564.jpg,2.0,510,Dan Rak Design Purchased,,Reserved by CM,Carrie McCormick,
Fl1-familyroom-coffee-table,Living space,Furniture,Black stone coffee table,IMG_1566.jpg,1.0,"1,705",Dan Rak Design Purchased,,Reserved by EG,,
Fl1-familyroom-lounge-chair,Living space,Furniture,"Noomi Chair - Felt Melange, Grey",IMG_1567.jpg,2.0,"1,200",Design Within Reach,33W x 35½H x 28D (in),Reserved by EG,,
Fl1-familyroom-console-table,Living space,Furniture,Wood and iron contemporary console table,IMG_1568.jpg,2.0,"1,170",Dan Rak Design Purchased,,Reserved by EG,,
Fl1-familyroom-profile-art,Living space,Art,Large abstract canvas with pink/teal/red loose brushwork,IMG_1569.jpg,1.0,"1,500",,,Reserved by EG,,
Fl1-familyroom-art-square,Living space,Art,Pair of framed concentric circle prints in teal and red,IMG_1569.jpg,2.0,537,,,Reserved by EG,,
Fl1-familyroom-sofa,Living space,Furniture,Dark grey contemporary sofa,IMG_1574.jpg,2.0,"1,785",Dan Rak Design Purchased,,Reserved by EG,,
Fl1-familyroom-end-table,Living space,Furniture,Walnut and metal end table,IMG_1574.jpg,2.0,250,Room&Board,,Reserved by EG,,
Fl1-kitchen-bar-stool,Dining,Furniture,Grey upholstered swivel bar stool with metal footrest,IMG_1571.jpg,4.0,463,Dan Rak Design Purchased,,Reserved by EG,,
Fl1-kitchen-round-table,Dining,Furniture,Round breakfast table,IMG_1573.jpg,2.0,749,Dan Rak Design Purchased,,Reserved by EG,,
fl0-game-room-media-console,Living space,Furniture,Low dark walnut media console with grey mesh doors,IMG_1578.jpg,,"1,000",Dan Rak Design Purchased,,Y,,
Fl0-game-room-table,Living space,Furniture,Round walnut dining table with tapered wood legs,IMG_1576.jpg,1.0,500,Dan Rak Design Purchased,,Y,,
fl0-game-room-lounge-chair,Living space,Furniture,Cream boucle high-back lounge chair with black metal legs,IMG_1579.jpg,2.0,"1,395",Dan Rak Design Purchased,,Y,,
fl0-game-room-coffee-table,Living space,Furniture,Double round walnut coffee table with overlapping tops,IMG_1580.jpg,1.0,"1,305",Dan Rak Design Purchased,,Y,,
fl0-game-room-sofa,Living space,Furniture,Grey velvet contemporary sofa with brass accent legs,IMG_1580.jpg,1.0,"1,557",Dan Rak Design Purchased,,Y,,
Fl0-game-room-credenza,Living space,Furniture,Walnut credenza,IMG_1581.jpg,1.0,"2,000",Dan Rak Design Purchased,,Y,,
Fl0-game-room-table-lamp,Living space,Lighting,Art deco table lamp,IMG_1581.jpg,2.0,150,Dan Rak Design Purchased,,Reserved by MM,,
fl0-game-room-floor-lamp,Living space,Lighting,Art deco floor lamp,IMG_1583.jpg,1.0,200,Dan Rak Design Purchased,,Reserved by MM,,
Fl0-game-room-low-shelf,Living space,Furniture,Ferris Cubby Bench,IMG_1583.jpg,1.0,799,Room&Board,50W x 18H x 14D (in),Y,,
fl0-game-room-console-table,Living space,Furniture,Metal console table,IMG_1585.jpg,1.0,300,Dan Rak Design Purchased,,Reserved by EG,,
Fl0-gym-peloton-tread,Gym,Equipment,Peloton Tread Plus treadmill with HD touchscreen,IMG_1586.jpg,1.0,"4,600",Peloton,,Reserved by MM,,
Fl0-gym-peloton-bike,Gym,Equipment,Peloton stationary bike with HD touchscreen display,IMG_1587.jpg,1.0,"1,600",Peloton,,Reserved by MM,,
Fl0-bedroom-stool,Bedroom,Furniture,Fabric stool with storage,IMG_1588.jpg,1.0,200,Dan Rak Design Purchased,,Y,,
Fl0-bedroom-bed,Bedroom,Furniture,Walnut kingsize bed,IMG_1589.jpg,1.0,"4,000",Dan Rak Design Purchased,,Reserved by EG,,
Fl0-bedroom-night stand,Bedroom,Furniture,Stone night stand,IMG_1591.jpg,2.0,311,Dan Rak Design Purchased,,Y,,
Fl0-bedroom-table-lamp,Bedroom,Lighting,Globular shade with cement base,IMG_1591.jpg,2.0,196,Dan Rak Design Purchased,,Y,,
O3-lounge-chair,Outdoor,Furniture,RH Pavona lounge chair,IMG_3003.jpg,2.0,"1,810",RH,32W x 27H x ¾D (in),Reserved by EG,,
O3-sofa,Outdoor,Furniture,RH Pavona sofa,IMG_3003.jpg,1.0,"4,192",RH,84W x 27H x 30¾D (in),Reserved by EG,,
O3-coffe table,Outdoor,Furniture,RH Prado teak coffee table,IMG_3003.jpg,1.0,"1,646",RH,45Dia (in),Reserved by EG,,
O2-adirondack,Outdoor,Furniture,Emmet Tall Lounge Chair in Pelham Fabric,IMG_3002.jpg,2.0,619,Room&Board,29W x 33H x 34D (in),Reserved by Free,,
O2-ottoman,Outdoor,Furniture,Gehry Left Twist Cube in Green,IMG_3002.jpg,1.0,250,Room&Board,19W x 17H x 18D (in),Reserved by Free,,
O2-iron-table,Outdoor,Furniture,Kona 32 diam 30h Round Table in Graphite,IMG_3002.jpg,1.0,349,Room&Board,32Dia x 30H (in),Reserved by Free,,
O2-iron-chair,Outdoor,Furniture,Theo outdoor dining chair,IMG_3002.jpg,2.0,199,Room&Board,24W x 31H x 22D (in),Reserved by Free,,
O3-dining-table,Outdoor,Furniture,RH Merida teak round dining table,IMG_3001.jpg,1.0,"1,916",RH,60Dia x 30H (in),Reserved by EG,,
O3-dining-chair,Outdoor,Furniture,RH Provence bucket armchair,IMG_3001.jpg,6.0,656,RH,26W x 33H x ½D (in),Reserved by EG,,
